"name","date","favno","retno","text"
"StanstedLondon","1448668593","0","0","easyJet plans to improve its aircraft fleet under a deal stansted"
"EvilIrish1","1448668430","0","4","Investigation launched after Arabic graffiti found on four easyJet planes in France"
"Wall82Jonathan","1448668338","0","4","Investigation launched after Arabic graffiti found on four easyJet planes in France"
"VoteAshukAhmed1","1448668321","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"LutonOnSunday","1448668199","0","1","So very pleased for you Very well deserved ��"
"Independent_ie","1448667868","2","4","Investigation launched after Arabic graffiti found on four easyJet planes in France"
"JnnnLdsm025","1448667756","0","0","EasyJet and BA cancel Sharm flights"
"Basepoint_Luton","1448667635","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"ElwoodEdler53","1448667535","0","0","EasyJet and BA cancel Sharm flights"
"Porsha283","1448666557","0","0","EasyJet and BA cancel Sharm flights"
"MikeWarner628","1448666427","0","0","Was just scammed by and when emailing them about it they dont even offer an apology Fly from now on They are good ppl"
"_superted","1448665835","1","0","I love it when easyjet make you check your bag and then you spend half an hour waiting for it on arrival at on a Friday night"
"lowcostinfo","1448665756","0","0","Scotland expansion for easyJet lowcost easyjet"
"Dyer1Adam","1448665504","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"AndyMRoberts","1448665499","2","0","As an ex easyJet crew member I find this rather alarming �� From tomorrow Sun"
"operaboysuk","1448665282","0","0","Due before Well its pm now and theyre not here yet"
"Duran1177","1448665274","2","1","So very pleased for you Very well deserved ��"
"Safadreamer","1448665219","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"disabilitydiva","1448665207","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"benjav22","1448664877","3","0","Wowzers Very very impressed with the new As they are mega spacious and really comfy Good job guys ����"
"operaboysuk","1448664648","2","1","Flew back to Manchester from Madeira with tonight I really miss ������"
"Joaquina588","1448664606","0","0","EasyJet and BA cancel Sharm flights"
"TarshaBarsha","1448664497","0","0","It was booked EJ epic fail Mum now in great pain"
"TaysideEvp","1448664485","0","0","probably easyjet themselves that scrawled on the tanks"
"easyJet","1448664442","0","0","Hi Barsha Sorry to hear that Please note that you could book the assistance for your parents Iryna"
"Saskiaatje010","1448664244","0","1","This morning I was on my way to London beautiful sky EasyJet Schiphol travel"
"WCroydonVoice","1448664165","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"cassandra2020","1448663855","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"elTav","1448663794","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"DianaNabi","1448663769","0","1","This morning I was on my way to London beautiful sky EasyJet Schiphol travel"
"0504Traveller","1448663691","0","0","to increase Scotland services with new aircraft"
"fatreg","1448663663","0","0","thats some accolade"
"FiDaisyG","1448663650","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"PatrickWhyteTTG","1448663553","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"ephson48","1448663476","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"BegumNadiya","1448663414","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"newscore2","1448663401","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"LauraChurchLBC","1448663401","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"harryriedl","1448663354","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"ThorpeLynden","1448663320","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"MelodyWCTWWW","1448663310","0","0","Scots teenager collapses on flight after wearing LAYERS of clothes"
"stacz123","1448663289","0","0","any truth in this"
"easyJet","1448663258","0","0","Hi Ana Apologies for the inconvenience Please see this link for info Iryna"
"Luton_St_Pastor","1448663249","0","2","Congratulations to Nadiya Hussain winner of the Lutionian of the year award lutonbestawards"
"calciatore","1448663121","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"sholmes1980","1448663117","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"jimmythegooner","1448663047","1","0","She doesnt even live in Luton"
"MrHarryCole","1448663017","0","13","Tomorrows front page EasyJet puts its staff on high alert"
"TheSun","1448662913","10","13","Tomorrows front page EasyJet puts its staff on high alert"
"oliver1971edwa2","1448662744","0","2","ejtraveller great flight on"
"dana1991chivers","1448662738","0","2","ejtraveller great flight on"
"sorrelsorrel","1448662705","5","2","ejtraveller great flight on"
"Copytwilight","1448662705","0","0","are you playing with timings min indefinite wait after deboarding within the law is that it"
"TarshaBarsha","1448662699","0","0","Parents flew from Barc to Luton Both disabled amp late s EJ failed to provide assistance Arthritic mum had to walk down stairs"
"Copytwilight","1448662632","0","0","first you push the flight EZY for min then we exit the plane just to be held in waiting room in Bristol"
"welterw888","1448662607","0","0","Ive sent emails last one was to CEO but still nowt Even getting a standard bullshit reply would feel like a result"
"MK11RBS","1448662553","0","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"roe_toni","1448662478","0","0","Ive spent hours now going round in circles on the phone since Tuesday still waiting for a manager to contact me grr"
"bedsbizwomen","1448662440","0","2","Congratulations to Nadiya Hussain winner of the Lutionian of the year award lutonbestawards"
"welterw888","1448662416","0","0","will do Hardly gives you confidence in their ability to run an airline when they cant be bothered to type an email"
"temmyxp","1448662343","0","0","Emirates did the same to me and my fiance We had to trash a whole box It was a sad experience"
"roe_toni","1448662328","0","0","same here if you ever get a response from the idiots that are easyjet let me know haha"
"LutonOnSunday","1448662317","29","13","GBBO winner wins the Lutonian of the Year award sponsored by lutonsbestawards"
"Basepoint_Luton","1448662265","0","2","Congratulations to Nadiya Hussain winner of the Lutionian of the year award lutonbestawards"
